id,dishName,chef,badgeType,badgeText,rating,reviewsCount,imageUrl,prepEase,flavorProfile,nutritionalValue,complexity,ingredients,instructions,reviewComment
4704,Avocado Chicken Salad,Isabel Castillo,verified,Chef-Verified,4.7,118,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/657b903e39c1469dbfe801e60929bb21.jpeg,95,94,54,42,chicken | salad | avocado | high-protein | lunch | low-carb,In a blender or food processor, combine the yogurt, lime juice, pepper, and chili powder and pulse to combine. Add ½ of the avocado and blend until creamy. || In a large bowl, combine the chicken, celery, onion, and remaining avocado. || Pour the dressing over the chicken mixture and toss gently to coat. Serve immediately or chill.,This chicken salad is a lunchtime delight! Packed with creamy avocado, tender chicken, and crunchy veggies.
4812,Classic Creamy Mushroom Risotto,Massimo Bottura,famous,Global Master,4.9,342,https://images.unsplash.com/photo-1476124369491-e7addf5db371?auto=format&fit=crop&w=600&q=80,70,98,74,56,risotto | mushroom | classic | italian | dinner | creamy,Heat the vegetable stock to a low simmer in a side saucepan. || Sauté onions and mushrooms in olive oil until golden brown. || Add Arborio rice to the pan and toast for 2 minutes. || Add white wine and stir continuously until fully absorbed. || Add stock one ladle at a time, stirring until rice is tender and creamy.,An authentic masterclass selection mapping classic Northern Italian rich mushroom risotto methodology.
5109,Steamed Veggie Buddha Bowl,Alice Waters,verified,Global Master,4.5,88,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?auto=format&fit=crop&w=600&q=80,95,88,41,28,vegan | healthy | buddha bowl | clean | quinoa | broccoli,Cook the tri-color quinoa according to package instructions. || Steam cubed sweet potatoes and broccoli florets until tender. || Arrange cooked quinoa as a base layer inside serving bowls. || Top with steamed vegetables, edamame, and drizzle with tahini dressing.,A clean plant-based meal engineered for clean eating and high nutritional density integrity.
5321,Heirloom Roasted Chicken,Marcus Samuelsson,famous,Chef-Verified,4.8,210,https://images.unsplash.com/photo-1598515214211-89d3c73ae83b?auto=format&fit=crop&w=600&q=80,35,96,91,63,roast chicken | dinner | heirloom | comfort food | poultry,Pat the chicken completely dry inside and out using paper towels. || Season cavity heavily with sea salt and stuff with lemon halves. || Rub softened butter uniformly under and over the skin surface. || Roast at 200°C for 1 hour and 15 minutes until internal temp hits 75°C.,Classic Sunday roast chicken utilizing clean butter rubs and aromatic herb stuffing methods.
5402,Homemade Margherita Pizza,Gennaro Contaldo,verified,Chef-Verified,4.6,185,https://images.unsplash.com/photo-1604068549290-dea0e4a305ca?auto=format&fit=crop&w=600&q=80,80,95,65,49,pizza | dough | neapolitan | cheese | basil | baking,Roll out freshly proofed pizza dough onto a floured surface. || Spread a thin layer of crushed San Marzano tomato sauce. || Distribute fresh mozzarella slices evenly over the surface. || Drizzle with olive oil and bake at 250°C for 8 minutes. Garnish with basil.,Traditional wood-fired taste profile built cleanly within standard baking environments.
5420,Creamy Garlic Butter Shrimp,Alexis Deboschnek,verified,Chef-Verified,4.7,294,https://images.unsplash.com/photo-1559742811-824289528580?auto=format&fit=crop&w=600&q=80,90,92,45,35,shrimp | seafood | garlic | butter | quick | pan-fry,Melt unsalted butter in a wide skillet over medium-high heat. || Add minced garlic and sauté until fragrant, about 1 minute. || Toss in raw peeled shrimp and cook until pink and opaque. || Deglaze pan with white wine, drop parsley, and turn off heat.,A quick pan-fry method providing rich garlic notes and robust protein presentation.
5480,Classic French Onion Soup,Ludo Lefebvre,famous,Global Master,4.9,412,https://images.unsplash.com/photo-1589118949245-7d38baf380d6?auto=format&fit=crop&w=600&q=80,45,99,82,75,soup | onions | french | gruyere | slow-cook | broth,Slice five large yellow onions thinly from root to stem. || Caramelize onions slowly in a Dutch oven with butter for 45 minutes. || Pour in beef bone broth and a splash of sherry, simmer for 30 minutes. || Ladle into bowls, top with toasted baguette slices and grated gruyere cheese. Broil.,Slow-caramelized onion bases paired with rich gruyere crusting limits.
5510,Spicy Tuna Poke Bowl,Sam Choy,verified,Global Master,4.4,145,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&w=600&q=80,95,91,38,21,sushi | poke | raw tuna | rice | hawaiian | spicy,Cube sushi-grade ahi tuna into bite-sized segments. || Toss tuna gently in a mixture of sriracha, sesame oil, and soy sauce. || Scoop warm sushi rice into serving bowls. || Arrange dressed tuna, cucumber slices, shredded carrots, and avocado cleanly over rice.,Fresh raw Pacific seafood layers built with clean metric balances.
5590,Old Fashioned Blueberry Pancakes,Martha Stewart,famous,Chef-Verified,4.8,320,https://images.unsplash.com/photo-1528207776546-365bb710ee93?auto=format&fit=crop&w=600&q=80,85,93,60,42,breakfast | pancakes | blueberries | baking | sweet | fluff,Whisk flour, baking powder, sugar, and salt together in a wide bowl. || Pour in whole milk, melted butter, and one egg; stir until just combined. || Fold fresh wild blueberries gently into the thick batter. || Scoop onto a hot greased griddle. Flip when bubbles break surface.,Classic fluffy breakfast textures built with natural fruit inclusions.
5630,Smoked Texas Beef Brisket,Aaron Franklin,famous,Chef-Verified,4.9,560,https://images.unsplash.com/photo-1529193591184-b1d58069ecdd?auto=format&fit=crop&w=600&q=80,15,99,95,90,bbq | brisket | beef | smoked | slow-cook | texas,Trim excess hard fat caps from the raw brisket flat surface. || Apply an equal mixture rub of coarse kosher salt and black pepper. || Fire the smoker with post oak wood to a stable 110°C. || Smoke the meat continuously for 12 hours until internal temperature reads 95°C.,Slow pit smoked comfort food utilizing traditional Central Texas methods.
5680,Crispy Tofu Stir Fry,Ming Tsai,verified,Global Master,4.3,95,https://images.unsplash.com/photo-1512058564366-18510be2db19?auto=format&fit=crop&w=600&q=80,90,87,35,30,tofu | vegan | stir-fry | vegetables | quick | soy-sauce,Press extra-firm tofu between paper towels to extract lingering moisture. || Cube tofu and coat with a thin layer of cornstarch before frying until gold. || Stir fry snap peas, bell peppers, and broccoli in a roaring hot wok. || Return tofu to pan, pour in garlic soy glaze, and toss to incorporate.,Quick-fired clean vegan components bound securely inside hot wok lines.
5710,Authentic Pork Carnitas,Enrique Olvera,famous,Global Master,4.8,245,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?auto=format&fit=crop&w=600&q=80,50,97,78,65,tacos | pork | carnitas | mexican | slow-cook | citrus,Cut pork shoulder into large cubes and place inside a heavy pot. || Add lard, split oranges, condensed milk, garlic, and bay leaves. || Simmer on low heat for 3 hours until fibers pull apart smoothly. || Shred the meat and broil on a baking sheet until the edges turn deeply crispy.,Traditional Mexican configurations producing exceptional texture profile metrics.
5750,Decadent Chocolate Soufflé,Gordon Ramsay,famous,Chef-Verified,4.9,190,https://images.unsplash.com/photo-1606313564200-e75d5e30476c?auto=format&fit=crop&w=600&q=80,30,99,88,85,dessert | chocolate | souffle | baking | elegant | sweet,Brush ramekins vertically with softened butter and coat with sugar. || Melt bittersweet chocolate and heavy cream over a double boiler. || Whip egg whites with sugar until stiff, glossy peaks materialize. || Fold whites into the chocolate base in thirds. Bake immediately at 190°C.,High-precision baking requiring exact timing and aeration properties.
5800,Creamy Spinach Alfredo,Giada De Laurentiis,famous,Chef-Verified,4.7,215,https://images.unsplash.com/photo-1645112411341-6c4fd023714a?auto=format&fit=crop&w=600&q=80,80,94,70,40,pasta | alfredo | fettuccine | cheese | cream | spinach,Boil fettuccine pasta in salted water until perfectly al dente. || Melt butter in a wide pan, stir in heavy cream and garlic. || Bring to a low simmer, then whisk in fresh grated Parmesan cheese. || Add clean baby spinach leaves and toss until wilted before combining pasta.,Rich, smooth cheese binding structures paired with clean vegetable elements.
5850,Greek Chickpea Salad,Ina Garten,famous,Chef-Verified,4.6,178,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?auto=format&fit=crop&w=600&q=80,95,90,40,20,salad | chickpea | greek | healthy | quick | vegetarian,Rinse and drain two cans of premium organic chickpeas. || Dice cucumbers, kalamata olives, red onion, and cherry tomatoes. || Whisk red wine vinegar, olive oil, dried oregano, and lemon juice. || Combine salad elements in a large bowl and crumble fresh feta over top.,Fast assembly providing high fiber and clean nutrient values.
5900,Thai Green Curry Chicken,Jet Tila,verified,Global Master,4.7,220,https://images.unsplash.com/photo-1455619452474-d2be8b1e70cd?auto=format&fit=crop&w=600&q=80,75,96,72,58,curry | chicken | thai | green curry | coconut | spicy,Sauté authentic green curry paste in a splash of coconut oil until aromatic. || Gradually whisk in rich coconut milk to form a uniform broth base. || Add sliced chicken breast, bamboo shoots, and Thai eggplants. || Simmer gently for 15 minutes, finishing with fresh Thai basil leaves.,Classic balancing metrics of heat, sweet, and rich coconut layers.
5950,Crispy Baked Buffalo Wings,Alvin Zhou,verified,Chef-Verified,4.5,160,https://images.unsplash.com/photo-1567620832903-9fc6debc209f?auto=format&fit=crop&w=600&q=80,85,93,68,38,wings | chicken | buffalo | spicy | crispy | baking,Toss chicken wings thoroughly with baking powder and salt. || Arrange wings onto a raised wire rack inside a baking pan. || Bake at 220°C for 45 minutes, turning once to ensure crispy skin. || Melt butter into Frank's RedHot sauce and coat the baked wings.,Oven-baked processing mimicking traditional deep fry texture metrics.
6000,Premium Wagyu Smash Burgers,Matty Matheson,famous,Chef-Verified,4.8,310,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=600&q=80,80,98,75,45,burger | beef | wagyu | smashburger | cheese | grill,Shape high-grade wagyu beef into loose 4-ounce spheres. || Place onto a screaming hot cast iron griddle and press flat immediately. || Sear for 2 minutes until a deep lacy crust develops. || Flip, apply a slice of American cheese, and stack onto a toasted bun.,High heat fat rendering resulting in exceptional juiciness metrics.
6050,Vegetarian Lentil Shepherd Pie,Jamie Oliver,famous,Global Master,4.6,132,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80,65,92,62,52,pie | lentils | vegetarian | mash | dinner | comfort,Sauté carrots, celery, onions, and minced garlic in a deep pot. || Stir in brown lentils, vegetable broth, tomato paste, and thyme; simmer. || Boil potatoes until soft, mash thoroughly with butter and milk. || Transfer lentil filling to a casserole dish, layer potatoes on top, bake.,Nutrient-rich lentil base structural layouts beneath buttery crusts.
6100,Authentic Tonkotsu Ramen,Ivan Orkin,famous,Global Master,4.9,480,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?auto=format&fit=crop&w=600&q=80,10,99,98,95,ramen | tonkotsu | soup | noodles | japanese | rich,Boil pork bones heavily for 14 hours to extract marrow lipids. || Strain broth until a creamy, milky white emulsion is captured. || Combine with a master tare sauce inside deep serving bowls. || Drop fresh ramen noodles and top with braised pork belly and soft egg.,High complexity emulsion engineering yielding deep savory metrics.
6150,Roasted Garlic Hummus,Yotam Ottolenghi,famous,Global Master,4.7,198,https://images.unsplash.com/photo-1577906096429-f73c2c312435?auto=format&fit=crop&w=600&q=80,90,93,42,25,hummus | chickpeas | garlic | dip | vegan | mediterranean,Roast an entire head of garlic inside foil until the cloves turn sweet. || Process chickpeas, tahini, lemon juice, and cold water in a blender. || Drop the roasted sweet garlic cloves into the pureeing mix. || Stream in quality olive oil until a velvety consistency is reached.,Emulsified bean and oil matrix delivering premium smooth properties.
6200,Classic Beef Beef Bourguignon,Julia Child,famous,Chef-Verified,4.9,520,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?auto=format&fit=crop&w=600&q=80,40,99,92,80,beef | stew | julia child | french | slow-cook | wine,Sauté bacon lardons in a heavy copper Dutch oven until crisp. || Sear cubed beef chuck in the residual fat until deeply browned. || Pour in premium red Burgundy wine and rich veal stock. || Braise in the oven on low heat for 3 hours with mushrooms and pearl onions.,Timeless classical braising methodology using deep wine reductions.
6250,Fresh Mango Sticky Rice,Chawalee Srichai,verified,Global Master,4.5,115,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?auto=format&fit=crop&w=600&q=80,75,91,55,40,dessert | rice | mango | thai | sweet | coconut,Soak sweet glutinous rice for 4 hours before steaming over hot water. || Heat coconut milk with palm sugar and sea salt until dissolved. || Mix half the warm syrup into the cooked sticky rice to absorb. || Slice ripe ataulfo mangoes and serve alongside the finished rice.,Starch and sugar balances defining traditional Southeast Asian sweets.
6300,Crispy Pork Belly Lechon,Claude Tayag,verified,Global Master,4.8,210,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80,30,97,89,72,pork | pork belly | crispy | filipino | roast | lechon,Score the internal flesh of a thick slab of fresh pork belly. || Stuff cavity with lemongrass, scallions, garlic, and sea salt. || Roll belly tightly and secure using butcher twine strings. || Roast at low heat for 3 hours, finishing at 240°C to blister skin.,A perfect crisp skin transformation engineered via dry heat control.
6350,Healthy Quinoa Avocado Salad,Rie McClenny,verified,Chef-Verified,4.4,124,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?auto=format&fit=crop&w=600&q=80,95,86,40,20,salad | quinoa | avocado | healthy | lunch | clean,Boil white quinoa in vegetable stock until light and fluffy. || Dice ripe hass avocados, cherry tomatoes, and english cucumbers. || Toss elements together with cold-pressed olive oil and lime juice. || Season with freshly cracked black pepper and chopped cilantro.,Fast assembly offering high potassium and clean fiber metrics.
6400,Classic Italian Tiramisu,Iginio Massari,famous,Global Master,4.8,280,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?auto=format&fit=crop&w=600&q=80,60,96,75,50,dessert | tiramisu | coffee | italian | sweet | mascarpone,Whisk egg yolks and fine sugar until pale and thick. || Fold in rich mascarpone cheese until a silky cream materializes. || Dip ladyfingers quickly into cold espresso spiked with rum. || Layer soaked cookies alternating with mascarpone cream. Dust with cocoa.,Aerated egg and cheese layers defined by dark espresso washes.
6450,Savory Chicken Tikka Masala,Gaggan Anand,famous,Global Master,4.9,430,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=600&q=80,55,99,84,78,curry | chicken | indian | tikka masala | spicy | cream,Marinate cubed chicken in spiced yogurt and char under high heat. || Cook crushed tomatoes, ginger, and garlic in butter. || Add toasted garam masala, cumin, coriander, and fresh heavy cream. || Drop charred chicken into simmering sauce and cook for 10 minutes.,Complex spice toast patterns yielding iconic rich sauce profiles.
6500,Classic Southern Fried Chicken,Edna Lewis,famous,Chef-Verified,4.8,365,https://images.unsplash.com/photo-1569058242253-92a9c755a0ec?auto=format&fit=crop&w=600&q=80,50,96,80,60,fried chicken | poultry | chicken | southern | crispy | comfort,Submerge chicken pieces in seasoned salted buttermilk for 24 hours. || Dredge chicken pieces thoroughly through flour spiked with paprika and pepper. || Heat pure lard in a deep cast iron skillet to 175°C. || Fry chicken until skin is golden brown and meat reads 74°C internal.,Deep fat crisp structures locking in extreme juice parameters.
6550,Spicy Sichuan Mapo Tofu,Fuchsia Dunlop,famous,Global Master,4.7,192,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?auto=format&fit=crop&w=600&q=80,85,95,58,45,tofu | sichuan | mapo tofu | spicy | chinese | pork,Sauté ground pork and fermented chili bean paste (doubanjiang) in oil. || Pour in light chicken stock and add cubed silken tofu. || Simmer gently for 5 minutes, thickening with a cornstarch slurry. || Scatter ground toasted Sichuan peppercorn and scallions across top.,The iconic fiery, tongue-numbing flavor balance profile.
6600,Fresh Garden Pesto Pasta,Stefano Barbato,verified,Global Master,4.6,140,https://images.unsplash.com/photo-1621510456681-23a23cfb5f57?auto=format&fit=crop&w=600&q=80,90,92,50,30,pasta | pesto | basil | pine nuts | italian | quick,Pound sweet basil leaves, garlic, and toasted pine nuts in a mortar. || Incorporate grated Pecorino Romano cheese and quality olive oil. || Cook trofie pasta until firm and perfectly al dente. || Toss pasta with fresh raw pesto paste away from direct heat.,Uncooked fresh herb emulsion preserving clean aromatic properties.
6650,Ultimate Chocolate Chip Cookies,Tasty Pastry Crew,verified,Chef-Verified,4.5,850,https://images.unsplash.com/photo-1499636136210-6f4ee915583e?auto=format&fit=crop&w=600&q=80,85,91,65,35,cookies | chocolate | baking | sweet | snack | dessert,Cream browned butter with dark brown sugar and white sugar. || Beat in fresh eggs and premium real vanilla extract. || Fold in dark chocolate chunks and baking flour until soft mass forms. || Scoop onto pans and bake at 180°C for exactly 11 minutes.,Brown butter caramelization patterns generating soft centers.
6700,Traditional Spanish Paella,Jose Andres,famous,Global Master,4.8,290,https://images.unsplash.com/photo-1534080564583-6be75777b70a?auto=format&fit=crop&w=600&q=80,45,97,85,75,paella | rice | seafood | spanish | dinner | saffron,Sauté rabbit and chicken pieces inside a wide, shallow paella pan. || Add grated tomato base and pour in boiling saffron-infused stock. || Scatter short-grain Bomba rice evenly across the boiling pan. || Cook without stirring to engineer a crispy bottom crust (socarrat).,Open fire starch cooking requiring precise surface heat control.
6750,Authentic Lebanese Falafel,Anissa Helou,famous,Global Master,4.6,180,https://images.unsplash.com/photo-1547058881-aa0edd92aab3?auto=format&fit=crop&w=600&q=80,75,93,48,40,falafel | chickpeas | vegan | middle eastern | quick | fry,Soak raw dried chickpeas for 24 hours (do not use canned beans). || Grind beans with fresh parsley, cilantro, garlic, and cumin. || Mix in a pinch of baking soda to create lightness. || Mold into uniform spheres and deep fry until crispy and dark brown.,A high-herb legume fry providing clean crunch and soft green centers.
6800,Pan-Seared Ribeye Steak,Gordon Ramsay,famous,Chef-Verified,4.9,620,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80,85,99,88,50,steak | beef | ribeye | meat | sear | quick,Season a thick bone-in ribeye steak heavily with sea salt. || Place into a hot cast iron pan and sear for 3 minutes on each side. || Toss in unsalted butter, crushed garlic, and fresh rosemary sprigs. || Spoon the foaming melted butter over the steak continuously while cooking.,Maillard browning surface development paired with rich butter basting.
6850,Creamy Tomato Basil Soup,Ina Garten,famous,Chef-Verified,4.7,240,https://images.unsplash.com/photo-1547592165-e1d17fed6005?auto=format&fit=crop&w=600&q=80,90,92,55,30,soup | tomato | basil | cream | simple | lunch,Roast plum tomatoes with garlic and olive oil until soft and charred. || Blend tomatoes with chicken stock and fresh sweet basil leaves. || Bring soup mixture to a gentle boil inside a large pot. || Pour in a splash of heavy cream and finish with sea salt.,Classic roasted acid reduction balanced using heavy cream lipids.
6900,Classic Beef Lasagna,Nonna Maria,verified,Global Master,4.8,380,https://images.unsplash.com/photo-1574894709920-11b28e7367e3?auto=format&fit=crop&w=600&q=80,35,97,94,70,lasagna | pasta | beef | casserole | italian | dinner,Simmer a rich beef and pork bolognese sauce for 4 hours. || Whisk whole milk, flour, and butter to construct a silky béchamel sauce. || Layer lasagna noodles, bolognese, béchamel, and mozzarella. || Bake at 180°C for 45 minutes until the top turns golden and bubbly.,Layered assembly balancing long-simmered acids with rich creams.
6950,Crispy Beer Batter Fish,Rick Stein,famous,Global Master,4.7,205,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?auto=format&fit=crop&w=600&q=80,70,94,72,48,fish | seafood | fried | quick | british | crispy,Whisk cold lager beer into seasoned flour to make a light batter. || Dredge fresh cod fillets through flour, then submerge in batter. || Drop fish carefully into clean oil heated to 180°C. || Fry for 6 minutes until the shell turns exceptionally crispy and golden.,Carbonation-assisted batter expansion yielding clean, airy shells.
7000,Fresh Greek Tzatziki Dip,Akis Petretzikis,verified,Global Master,4.5,130,https://images.unsplash.com/photo-1577906096429-f73c2c312435?auto=format&fit=crop&w=600&q=80,95,89,30,15,tzatziki | dip | greek | healthy | yogurt | cucumber,Grate english cucumber and squeeze through cloth to strip all water. || Fold cucumber into thick, strained plain Greek yogurt. || Stir in grated garlic, red wine vinegar, dill, and olive oil. || Chill in the refrigerator for 1 hour before serving with warm pita.,Moisture-stripped vegetable suspended inside premium heavy yogurt bases.
7050,Classic French Beef Tartare,Benoit Violier,famous,Global Master,4.8,110,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=600&q=80,85,95,85,65,beef | tartare | raw meat | french | elegant | dinner,Hand-dice raw beef tenderloin into ultra-fine miniature cubes. || Mix meat with capers, cornichons, dijon mustard, and worstestersire. || Bind the mixture cleanly using a fresh raw egg yolk. || Shape inside a ring mold and serve with crisp toasted baguette slices.,Raw high-grade muscle tissue manipulation defining classic French bistro menus.
7100,Vegetarian Chickpea Curry,Meera Sodha,verified,Global Master,4.6,185,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=600&q=80,85,91,45,35,curry | chickpeas | vegetarian | indian | simple | healthy,Sauté diced onions, ginger, and green chilies until tender. || Add turmeric, garam masala, and crushed plum tomatoes to form a base sauce. || Dump in soft chickpeas and a splash of pure coconut milk. || Simmer on low heat for 20 minutes, finishing with fresh cilantro.,Plant-based fiber blocks stewed inside aromatic tomato bases.